,City,Lat,Lon,Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Chokurdakh,70.63,147.92,29.84,97,53,9.66,RU,<class 'datetime.date'>
1,San Jose,37.34,-121.89,60.55,82,20,8.05,US,<class 'datetime.date'>
2,Touros,-5.2,-35.46,73.4,94,40,3.36,BR,<class 'datetime.date'>
3,Rikitea,-23.12,-134.97,75.58,69,51,5.37,PF,<class 'datetime.date'>
4,College,64.86,-147.8,71.19,20,75,3.36,US,<class 'datetime.date'>
5,Carnarvon,-24.87,113.63,76.89,48,100,11.54,AU,<class 'datetime.date'>
6,Vaini,-21.2,-175.2,77.0,94,75,6.93,TO,<class 'datetime.date'>
7,Dikson,73.51,80.55,29.17,97,94,23.44,RU,<class 'datetime.date'>
8,Saskylakh,71.92,114.08,27.55,97,100,6.64,RU,<class 'datetime.date'>
9,Hasaki,35.73,140.83,73.54,88,75,9.17,JP,<class 'datetime.date'>
10,Deputatsky,69.3,139.9,28.6,99,86,7.2,RU,<class 'datetime.date'>
11,Yellowknife,62.46,-114.35,30.09,63,5,13.87,CA,<class 'datetime.date'>
12,Port Elizabeth,-33.92,25.57,51.8,100,0,3.36,ZA,<class 'datetime.date'>
13,Barrow,71.29,-156.79,30.2,92,1,3.36,US,<class 'datetime.date'>
14,Ushuaia,-54.8,-68.3,41.0,86,30,1.48,AR,<class 'datetime.date'>
15,Saint-Philippe,-21.36,55.77,69.42,83,75,11.41,RE,<class 'datetime.date'>
16,Busselton,-33.65,115.33,63.9,36,57,2.98,AU,<class 'datetime.date'>
17,Nome,64.5,-165.41,53.78,46,1,11.41,US,<class 'datetime.date'>
18,Bani Walid,31.76,13.99,67.33,37,82,5.17,LY,<class 'datetime.date'>
19,Torbay,47.67,-52.73,45.59,93,90,33.33,CA,<class 'datetime.date'>
20,Ürümqi,43.8,87.6,73.4,17,98,8.95,CN,<class 'datetime.date'>
21,Matara,5.95,80.54,86.99,72,100,3.18,LK,<class 'datetime.date'>
22,Siyabuswa,-25.11,29.04,54.48,86,0,1.66,ZA,<class 'datetime.date'>
23,Kamaishi,39.27,141.88,60.8,87,75,5.82,JP,<class 'datetime.date'>
