,City,Lat,Lon,Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Punta Arenas,-53.15,-70.92,41.0,93,90,3.36,CL,<class 'datetime.date'>
1,Kandalaksha,67.16,32.41,38.82,75,6,3.58,RU,<class 'datetime.date'>
2,Bredasdorp,-34.53,20.04,57.2,87,79,2.62,ZA,<class 'datetime.date'>
3,Hithadhoo,-0.6,73.08,84.96,78,79,14.09,MV,<class 'datetime.date'>
4,Rikitea,-23.12,-134.97,75.69,72,9,12.66,PF,<class 'datetime.date'>
5,Barrow,71.29,-156.79,14.0,85,90,14.99,US,<class 'datetime.date'>
6,Mar del Plata,-38.0,-57.56,48.42,93,60,13.87,AR,<class 'datetime.date'>
7,Atuona,-9.8,-139.03,80.87,75,84,19.77,PF,<class 'datetime.date'>
8,Avarua,-21.21,-159.78,77.0,88,4,1.12,CK,<class 'datetime.date'>
9,Savannah Bight,16.45,-85.85,82.29,81,100,16.73,HN,<class 'datetime.date'>
10,Mataura,-46.19,168.86,49.17,86,99,1.77,NZ,<class 'datetime.date'>
11,Arraial do Cabo,-22.97,-42.03,69.24,74,75,11.43,BR,<class 'datetime.date'>
12,Tula,54.2,37.61,55.99,57,39,3.18,RU,<class 'datetime.date'>
13,Kapaa,22.08,-159.32,72.59,73,75,18.34,US,<class 'datetime.date'>
14,Miyako,39.64,141.95,61.86,50,7,8.08,JP,<class 'datetime.date'>
15,Nhulunbuy,-12.23,136.77,84.2,54,40,14.99,AU,<class 'datetime.date'>
16,Mana,5.66,-53.78,77.27,85,93,8.86,GF,<class 'datetime.date'>
17,Carnarvon,-24.87,113.63,75.6,35,70,19.55,AU,<class 'datetime.date'>
18,Bethel,41.37,-73.41,50.7,53,20,6.93,US,<class 'datetime.date'>
19,Qaqortoq,60.72,-46.03,39.2,89,39,3.36,GL,<class 'datetime.date'>
20,Inhambane,-23.86,35.38,68.0,88,20,9.82,MZ,<class 'datetime.date'>
21,Samaná,19.21,-69.34,76.95,85,5,7.34,DO,<class 'datetime.date'>
22,Fillmore,43.67,-92.1,42.35,30,1,10.29,US,<class 'datetime.date'>
23,Hong Kong,22.29,114.16,86.49,77,92,5.99,HK,<class 'datetime.date'>
24,Ushuaia,-54.8,-68.3,46.4,87,75,1.68,AR,<class 'datetime.date'>
25,Pires do Rio,-17.3,-48.28,60.24,98,88,1.79,BR,<class 'datetime.date'>
26,Coquimbo,-29.95,-71.34,57.2,87,75,4.7,CL,<class 'datetime.date'>
27,Thompson,55.74,-97.86,26.6,73,75,9.17,CA,<class 'datetime.date'>
28,Cape Town,-33.93,18.42,60.4,87,25,6.93,ZA,<class 'datetime.date'>
29,Port Alfred,-33.59,26.89,63.0,92,93,7.0,ZA,<class 'datetime.date'>
30,Codajás,-3.84,-62.06,74.03,98,89,2.93,BR,<class 'datetime.date'>
31,Mareeba,-17.0,145.43,80.44,54,40,16.11,AU,<class 'datetime.date'>
32,Esperance,-33.87,121.9,59.0,67,75,19.46,AU,<class 'datetime.date'>
33,Chokurdakh,70.63,147.92,27.43,96,30,8.79,RU,<class 'datetime.date'>
34,Saint Paul Harbor,57.79,-152.41,44.6,81,90,21.92,US,<class 'datetime.date'>
35,Karacaköy,41.4,28.38,57.56,62,75,6.93,TR,<class 'datetime.date'>
36,Coahuayana Viejo,18.73,-103.68,74.5,63,0,2.48,MX,<class 'datetime.date'>
37,Walvis Bay,-22.96,14.51,74.86,27,0,10.13,NA,<class 'datetime.date'>
38,Leningradskiy,69.38,178.42,27.99,92,0,4.29,RU,<class 'datetime.date'>
39,Saint-Philippe,-21.36,55.77,79.57,74,20,5.82,RE,<class 'datetime.date'>
40,Sept-Îles,50.2,-66.38,34.5,69,75,4.7,CA,<class 'datetime.date'>
41,Chui,-33.7,-53.46,47.19,82,15,6.76,UY,<class 'datetime.date'>
42,Komsomolets,53.75,62.07,71.78,24,0,9.98,KZ,<class 'datetime.date'>
43,Genhe,50.78,121.52,61.03,29,0,11.81,CN,<class 'datetime.date'>
44,Yellowknife,62.46,-114.35,39.34,69,75,4.14,CA,<class 'datetime.date'>
45,Hilo,19.73,-155.09,66.47,65,40,8.05,US,<class 'datetime.date'>
46,Constitución,-35.33,-72.42,60.17,45,100,5.73,CL,<class 'datetime.date'>
47,Kambove,-10.88,26.6,60.33,76,70,8.97,CD,<class 'datetime.date'>
48,Provideniya,64.38,-173.3,37.29,74,90,12.8,RU,<class 'datetime.date'>
49,Vaini,-21.2,-175.2,78.8,94,90,6.93,TO,<class 'datetime.date'>
50,Albany,42.6,-73.97,42.17,58,56,8.37,US,<class 'datetime.date'>
51,Butte,39.65,-121.57,71.98,35,1,4.7,US,<class 'datetime.date'>
52,Ponta do Sol,32.67,-17.1,58.62,72,20,2.24,PT,<class 'datetime.date'>
53,La Unión,-5.4,-80.75,74.97,68,8,10.92,PE,<class 'datetime.date'>
54,Calabozo,8.92,-67.43,80.53,75,100,1.7,VE,<class 'datetime.date'>
55,Busselton,-33.65,115.33,56.93,87,100,1.99,AU,<class 'datetime.date'>
56,Gigmoto,13.78,124.39,86.59,62,79,5.21,PH,<class 'datetime.date'>
